Country,Capital_Mobilization_Score,Infra_Investment_Pct_GDP,Green_Finance_Capacity,Dev_Bank_Sovereign_Fund,FDI_Transition,Anchoring_Sources,Evidence_Notes
Algeria,18,15,10,20,25,"IMF public investment data; UNCTAD FDI; SWF Institute","Infra: ~3% GDP public investment but poor execution and maintenance. Green: near-zero renewable investment despite massive solar potential. Dev bank: Fonds National d'Investissement exists but minimal deployment. FDI: low inflows outside hydrocarbons. All sub-scores evidence-based."
Argentina,28,30,22,28,30,"OECD infrastructure data; BNEF; UNCTAD FDI 2024","Infra: ~3.5% GDP but erratic due to recurring crises. Green: growing solar/wind investment in Patagonia but hampered by capital controls. Dev bank: BICE exists but limited by macro instability. FDI: moderate greenfield in lithium/energy. Mostly evidence-based."
Australia,52,35,58,62,50,"OECD infrastructure investment; IRENA 2024; SWF Institute; UNCTAD FDI","Infra: ~2.5% GDP (data-anchored OECD). Green: significant solar investment growth; $20B+ annual renewables spend. Dev bank: Future Fund ($225B AUM); CEFC ($10B green bank). FDI: moderate transition FDI in critical minerals. Mix of data-anchored and evidence-based."
Austria,50,42,52,48,55,"OECD infrastructure investment; CPI global flows; UNCTAD FDI","Infra: ~3% GDP (OECD data). Green: moderate green bond issuance; alpine hydro base. Dev bank: OeKB development bank; small but well-deployed. FDI: solid EU-sourced transition FDI. Mostly data-anchored."
Azerbaijan,22,45,8,22,12,"ITF/OECD transport data; SWF Institute; UNCTAD","Infra: ~3% GDP (data-anchored ITF) driven by oil revenue. Green: near-zero renewable finance. Dev bank: SOFAZ sovereign fund ($45B) but narrow hydrocarbon focus. FDI: minimal transition FDI. Infra data-anchored; rest evidence-based."
Bangladesh,20,22,15,18,25,"World Bank project data; IRENA; UNCTAD FDI 2024","Infra: ~2.5% GDP public investment. Green: minimal but growing solar microgrid finance. Dev bank: Bangladesh Development Bank exists but poorly capitalized. FDI: growing garment/energy FDI from a low base. Mostly evidence-based."
Belgium,52,38,60,50,58,"OECD infrastructure; CBI green bond data; UNCTAD FDI","Infra: ~2.5% GDP (OECD data). Green: significant green bond issuance; EU institutional hub. Dev bank: limited national mechanism but EU fund access. FDI: strong logistics/energy FDI via Antwerp port. Data-anchored for infra and green; evidence-based for dev bank."
Bolivia,15,20,8,12,18,"World Bank; national budget data; UNCTAD","Infra: ~2.5% GDP but poor execution quality. Green: near-zero green finance. Dev bank: no significant sovereign fund; FONDESIF exists but minimal. FDI: low and concentrated in extractives. Mostly evidence-based."
Brazil,45,38,48,55,38,"OECD infrastructure; IRENA 2024; BNDES data; UNCTAD FDI 2024","Infra: ~2.8% GDP. Green: growing renewable investment (~$30B annual); strong solar growth. Dev bank: BNDES is one of world's largest ($80B+ annual disbursements); key transition finance tool. FDI: #2 global FDI recipient 2024 but mixed transition focus. BNDES data-anchored; rest mixed."
Bulgaria,35,40,28,25,45,"EU infrastructure data; CBI green bonds; UNCTAD FDI","Infra: ~3.5% GDP boosted by EU structural funds. Green: modest but growing via EU Green Deal. Dev bank: Bulgarian Development Bank exists but small. FDI: growing EU-sourced manufacturing FDI. Mostly evidence-based with EU fund data anchor."
Canada,55,30,58,65,55,"OECD infrastructure; CBI green bond data; SWF Institute; UNCTAD FDI","Infra: ~2.2% GDP (OECD data-anchored). Green: strong green bond market; CIB ($35B infrastructure bank). Dev bank: CPP Investment Board ($570B+); CDPQ ($400B+); CIB. FDI: solid transition FDI in critical minerals and energy. Mostly data-anchored."
Chile,40,35,45,32,48,"OECD infrastructure; CBI green bond data; UNCTAD FDI 2024","Infra: ~2.8% GDP. Green: largest EM sovereign green bond issuer ($55B cumulative GSSS); strong solar finance. Dev bank: CORFO exists but limited scale. FDI: significant mining/energy greenfield FDI. Green bond data-anchored; rest mixed."
China,88,95,92,90,72,"OECD/IMF; IEA World Energy Investment 2025; IRENA 2024; SWF Institute; UNCTAD","Infra: ~8% GDP (data-anchored) — highest globally. Green: $625-940B clean energy investment in 2024 (IEA/BNEF data-anchored) — 31% of global total. Dev bank: CDB ($2.7T assets) + CIC ($1.3T SWF) + policy banks — world's largest development finance system. FDI: declining inward (-29%) but massive outward in transition. All sub-scores data-anchored."
Colombia,25,28,20,22,30,"World Bank; national budget; UNCTAD FDI 2024","Infra: ~2.5% GDP. Green: small but growing renewable finance. Dev bank: Bancoldex and FDN exist but limited scale. FDI: moderate energy FDI; diversifying from oil. Mostly evidence-based."
Costa Rica,35,32,35,28,42,"World Bank; IRENA; UNCTAD FDI","Infra: ~3% GDP. Green: strong renewable commitment (near-100% renewable electricity) but small absolute investment. Dev bank: BNCR serves some development role but limited. FDI: solid tech/services FDI for its size. Mostly evidence-based."
Croatia,32,38,28,22,38,"EU infrastructure data; UNCTAD FDI","Infra: ~3% GDP boosted by EU funds. Green: modest green finance. Dev bank: HBOR development bank exists but small. FDI: growing EU tourism/energy FDI. Mostly evidence-based."
Cyprus,30,28,25,22,42,"EU data; UNCTAD FDI","Infra: ~2% GDP. Green: growing solar but small economy. Dev bank: no significant mechanism. FDI: moderate financial services and energy FDI. Mostly evidence-based."
Czech Republic,48,42,42,38,58,"OECD infrastructure; EU data; UNCTAD FDI","Infra: ~3.5% GDP (OECD data). Green: moderate green bond issuance. Dev bank: CMZRB development bank; limited scale. FDI: strong manufacturing FDI (battery plants from CATL/Samsung). Infra data-anchored; FDI data-anchored; rest evidence-based."
Denmark,58,38,65,55,62,"OECD infrastructure; CBI green bond data; UNCTAD FDI","Infra: ~2.5% GDP (OECD data). Green: strong green bond market; Vestas/Orsted anchor significant transition finance. Dev bank: IFU (Investment Fund for Developing Countries); ATP pension deployment. FDI: strong wind energy FDI. Mostly data-anchored."
Dominican Republic,22,25,15,12,35,"World Bank; UNCTAD FDI","Infra: ~2.5% GDP. Green: minimal green finance. Dev bank: no significant mechanism. FDI: moderate tourism/energy FDI. Mostly evidence-based."
Ecuador,18,22,12,15,22,"World Bank; UNCTAD FDI","Infra: ~2% GDP with weak execution. Green: near-zero green finance. Dev bank: CFN exists but limited. FDI: low transition-relevant FDI. Mostly evidence-based."
Egypt,30,38,22,30,32,"World Bank; IRENA; UNCTAD FDI 2024 (Africa FDI spike)","Infra: ~4% GDP driven by mega-projects (new capital city; Suez expansion). Green: Benban Solar Park attracted significant finance. Dev bank: no major sovereign fund but Egypt SWF ($12B) launched 2018. FDI: 75% spike in 2024 (UNCTAD data-anchored) driven by single large project. Infra and FDI partially data-anchored."
Estonia,40,35,38,32,52,"OECD/EU data; UNCTAD FDI","Infra: ~3% GDP with EU support. Green: modest but efficient green finance for size. Dev bank: KredEx/SmartCap — small but effective. FDI: strong tech/digital FDI relative to economy size. Partially data-anchored."
Ethiopia,18,25,10,15,22,"World Bank; IRENA; UNCTAD FDI","Infra: ~3% GDP driven by GERD dam and road programs. Green: limited; GERD is largest single project. Dev bank: DBE (Development Bank of Ethiopia) exists but poorly performing. FDI: moderate but growing from China/Gulf. Mostly evidence-based."
Finland,55,35,60,55,58,"OECD infrastructure; CBI green bond data; UNCTAD FDI","Infra: ~2.5% GDP (OECD data). Green: strong green bond market; Nordic green finance leadership. Dev bank: Finnfund; Finnish Industry Investment (Tesi). FDI: solid transition FDI in cleantech/bioeconomy. Mostly data-anchored."
France,62,42,68,65,60,"OECD infrastructure; CBI green bond data; SWF Institute; UNCTAD FDI","Infra: ~3% GDP (OECD data). Green: #2 European green bond issuer; Bpifrance climate commitments. Dev bank: Bpifrance ($50B+ annual); Caisse des Depots ($340B+ assets). FDI: strong transition FDI; battery gigafactories. Mostly data-anchored."
Georgia,22,28,15,18,28,"World Bank; UNCTAD FDI","Infra: ~3% GDP with international support. Green: limited but growing hydro finance. Dev bank: no significant mechanism. FDI: moderate energy/infrastructure FDI. Mostly evidence-based."
Germany,65,38,75,72,62,"OECD infrastructure; CBI green bond data; KfW annual report; UNCTAD FDI","Infra: ~2.5% GDP (OECD data-anchored). Green: largest European green bond issuer; massive Energiewende spending. Dev bank: KfW ($600B+ assets) — world's largest national development bank outside China; green transformation mandate. FDI: strong manufacturing/energy FDI. Mostly data-anchored."
Ghana,18,22,12,10,28,"World Bank; UNCTAD FDI","Infra: ~2% GDP. Green: minimal green finance. Dev bank: Ghana Infrastructure Investment Fund exists but tiny. FDI: moderate mining/energy FDI. Mostly evidence-based."
Greece,32,30,30,25,40,"OECD/EU data; UNCTAD FDI","Infra: ~2.5% GDP recovering from debt crisis austerity cuts. Green: growing solar/wind finance; EU Recovery Fund access. Dev bank: Hellenic Development Bank relaunched. FDI: growing renewable energy FDI. Partially data-anchored."
Hungary,45,48,38,32,58,"OECD infrastructure; EU data; UNCTAD FDI 2024","Infra: ~4.5% GDP boosted by EU funds and industrial policy (OECD data). Green: moderate; growing battery manufacturing finance. Dev bank: MFB (Hungarian Development Bank); Eximbank. FDI: very strong manufacturing FDI — CATL ($7.6B) and Samsung battery plants. Infra and FDI data-anchored."
Iceland,42,35,40,45,40,"OECD infrastructure; SWF Institute","Infra: ~2.5% GDP. Green: strong geothermal finance tradition. Dev bank: no major mechanism but Landsvirkjun (national power company) functions as deployment vehicle. FDI: limited transition FDI; data center growth. Partially data-anchored."
India,55,62,48,52,58,"OECD/IMF; IRENA 2024; World Bank; UNCTAD FDI 2024","Infra: ~5.3% GDP rising to 6.5% (data-anchored IMF/national budget). Green: $20B+ annual renewable investment; National Green Hydrogen Mission. Dev bank: NABARD; NaBFID ($20B capitalization); SIDBI. FDI: #4 globally for greenfield projects 2024 (1080 projects data-anchored UNCTAD); strong renewable energy FDI. Infra and FDI data-anchored."
Indonesia,40,42,32,35,48,"World Bank; IRENA; UNCTAD FDI 2024","Infra: ~3.5% GDP driven by IKN new capital and toll roads. Green: growing; nickel processing/battery value chain attracting green finance. Dev bank: Indonesia Investment Authority (INA) sovereign fund ($20B); PT SMI infrastructure finance. FDI: strong transition FDI in nickel/EV supply chain. Partially data-anchored."
Iran,15,25,5,18,5,"IMF estimates; evidence-based","Infra: ~3% GDP estimate but sanctions distort data. Green: near-zero under sanctions. Dev bank: no accessible international mechanisms; National Development Fund exists but constrained. FDI: near-zero due to sanctions. Mostly evidence-based; sanctions severely limit all categories."
Iraq,12,18,5,10,10,"IMF estimates; UNCTAD","Infra: ~2% GDP estimate but post-conflict execution extremely poor. Green: near-zero. Dev bank: no functional mechanism. FDI: minimal outside oil sector. Mostly evidence-based."
Ireland,52,25,55,48,72,"OECD infrastructure; CBI green bond data; UNCTAD FDI","Infra: ~1.5% GDP (OECD data — low due to inflated GDP denominator from corporate tax base). Green: strong green bond sovereign issuance; ISIF climate mandate. Dev bank: Ireland Strategic Investment Fund (ISIF ~$15B). FDI: #1 in Europe for tech/data center FDI per capita. Infra data-anchored; FDI data-anchored."
Israel,42,30,38,35,58,"OECD infrastructure; UNCTAD FDI","Infra: ~2% GDP (OECD data). Green: growing solar; innovation ecosystem drives cleantech VC. Dev bank: no major sovereign fund or development bank. FDI: strong tech/cleantech FDI. Infra data-anchored; rest evidence-based."
Italy,48,35,52,45,50,"OECD infrastructure; CBI green bond data; UNCTAD FDI","Infra: ~2.5% GDP (OECD data). Green: large green bond market; EU Recovery Fund access ($200B+ PNRR). Dev bank: CDP (Cassa Depositi e Prestiti ~$500B assets) — significant infrastructure deployment vehicle. FDI: moderate transition FDI; STMicroelectronics anchor. Mostly data-anchored."
Japan,62,45,60,72,55,"OECD infrastructure; CBI green bond; SWF Institute; UNCTAD FDI","Infra: ~3.5% GDP (OECD data-anchored). Green: world's #3 green bond market; $150B GX bonds program. Dev bank: JBIC + DBJ ($200B+ combined assets); GPIF ($1.5T pension fund with growing green allocation). FDI: moderate but increasing semiconductor/energy FDI. Mostly data-anchored."
Jordan,25,28,22,18,32,"World Bank; IRENA; UNCTAD FDI","Infra: ~3% GDP. Green: growing solar finance driven by energy import dependency. Dev bank: no significant mechanism. FDI: moderate renewable energy FDI. Mostly evidence-based."
Kazakhstan,28,35,15,32,28,"IMF; SWF Institute; UNCTAD FDI","Infra: ~3% GDP from oil revenues. Green: near-zero renewable investment. Dev bank: Samruk-Kazyna sovereign fund ($70B) but hydrocarbon-focused; National Fund of Kazakhstan ($60B). FDI: mostly extractive FDI. SWF data-anchored; rest evidence-based."
Kenya,20,22,15,12,28,"World Bank; UNCTAD FDI","Infra: ~2% GDP. Green: growing geothermal/solar finance; Lake Turkana Wind. Dev bank: no significant mechanism. FDI: moderate energy/tech FDI; M-Pesa ecosystem attracts fintech investment. Mostly evidence-based."
Kuwait,25,20,12,45,15,"SWF Institute; UNCTAD FDI","Infra: ~1.5% GDP low despite wealth. Green: near-zero renewable investment. Dev bank: Kuwait Investment Authority ($920B — among world's largest SWFs) but extremely low domestic transition deployment. FDI: minimal transition FDI. SWF data-anchored; rest evidence-based."
Latvia,32,35,28,22,40,"EU/OECD data; UNCTAD FDI","Infra: ~3% GDP boosted by EU funds. Green: modest green finance. Dev bank: ALTUM state development institution. FDI: moderate EU-sourced FDI. Partially data-anchored."
Lithuania,35,38,32,25,42,"EU/OECD data; UNCTAD FDI","Infra: ~3.5% GDP with EU support. Green: growing green finance. Dev bank: INVEGA state development agency. FDI: solid manufacturing/tech FDI. Partially data-anchored."
Luxembourg,48,25,62,55,42,"OECD infrastructure; CBI green bond data; SWF Institute","Infra: ~1.5% GDP. Green: major green finance hub; European Investment Bank HQ; Luxembourg Green Exchange. Dev bank: SNCI development bank; green finance regulatory leadership. FDI: moderate but concentrated in financial services. Green finance data-anchored."
Malaysia,48,45,40,48,55,"World Bank; SWF Institute; UNCTAD FDI 2024","Infra: ~3.5% GDP. Green: growing green sukuk market. Dev bank: Khazanah Nasional ($28B SWF); EPF pension fund ($220B+). FDI: strong semiconductor/data center FDI (13% global chip packaging). SWF and FDI partially data-anchored."
Mexico,38,28,30,25,55,"OECD infrastructure; UNCTAD FDI 2024","Infra: ~2% GDP (OECD data). Green: moderate; growing nearshoring-driven clean energy demand. Dev bank: NAFINSA and Banobras exist but limited green deployment. FDI: strong nearshoring FDI (+11% in 2024 UNCTAD data-anchored); EV assembly attracting transition investment. FDI data-anchored; rest evidence-based."
Morocco,32,38,28,25,35,"World Bank; IRENA; UNCTAD FDI","Infra: ~3.5% GDP (Noor CSP; HSR; port investments). Green: moderate; Noor Ouarzazate attracted $3B+ international finance. Dev bank: CDG Group and Ithmar Capital exist but limited. FDI: moderate renewable/infrastructure FDI. Partially data-anchored for flagship projects."
Netherlands,58,32,68,58,65,"OECD infrastructure; CBI green bond data; SWF Institute; UNCTAD FDI","Infra: ~2% GDP (OECD data). Green: major green bond market; ABP/PGGM pension funds with green mandates. Dev bank: FMO development bank; BNG Bank; pension system ($2T+) with growing green allocation. FDI: strong tech/energy FDI (ASML ecosystem). Mostly data-anchored."
New Zealand,42,32,40,38,48,"OECD infrastructure; UNCTAD FDI","Infra: ~2.5% GDP (OECD data). Green: strong renewable base but small absolute investment. Dev bank: NZ Super Fund ($40B+); NZ Green Investment Finance. FDI: moderate transition FDI. Partially data-anchored."
Nigeria,15,15,8,10,22,"World Bank; UNCTAD FDI","Infra: ~1.5% GDP with very poor execution. Green: near-zero green finance. Dev bank: NSIA sovereign fund ($3B — tiny for 224M people). FDI: limited; mostly oil/gas. Mostly evidence-based."
Norway,60,32,62,85,45,"OECD infrastructure; CBI green bond; SWF Institute; UNCTAD FDI","Infra: ~2.5% GDP (OECD data). Green: strong green bond market; Equinor transition investments. Dev bank: NBIM/GPFG ($1.86T — world's largest SWF) with growing green mandate; Norfund. FDI: moderate transition FDI. SWF data-anchored (world #1); infra OECD-anchored."
Oman,28,30,15,35,25,"SWF Institute; UNCTAD FDI","Infra: ~3% GDP from oil revenue. Green: major green hydrogen ambitions (HYPORT Duqm). Dev bank: Oman Investment Authority ($37B SWF merger); nascent hydrogen strategy. FDI: moderate growing hydrogen FDI. SWF data-anchored; hydrogen plans evidence-based."
Pakistan,18,22,10,15,25,"IMF; World Bank; UNCTAD FDI","Infra: ~2.5% GDP but fiscal constraints limit actual deployment. Green: minimal; CPEC-linked energy mostly fossil. Dev bank: no significant mechanism. FDI: limited; CPEC infrastructure FDI declining. Mostly evidence-based."
Peru,22,25,15,15,32,"World Bank; UNCTAD FDI","Infra: ~2.5% GDP. Green: minimal green finance. Dev bank: COFIDE exists but limited. FDI: moderate mining/energy FDI. Mostly evidence-based."
Philippines,30,32,22,20,38,"World Bank; UNCTAD FDI 2024","Infra: ~3% GDP (Build Build Build program). Green: limited but growing solar finance. Dev bank: DBP (Development Bank of Philippines); Maharlika Investment Fund ($5B launched 2023). FDI: moderate ASEAN-sourced FDI. Partially data-anchored."
Poland,48,45,42,35,58,"OECD infrastructure; EU data; UNCTAD FDI","Infra: ~3.5% GDP boosted by EU cohesion funds (OECD data). Green: growing green bond issuance (sovereign green bond pioneer). Dev bank: BGK (Bank Gospodarstwa Krajowego); PFR Polish Development Fund. FDI: strong battery/EV manufacturing FDI (Intel fab planned). Infra and FDI data-anchored."
Portugal,38,30,42,30,48,"OECD infrastructure; CBI green bond; UNCTAD FDI","Infra: ~2% GDP (OECD data). Green: strong green bond issuance; EU Recovery Fund. Dev bank: IFD (Instituicao Financeira de Desenvolvimento) — small. FDI: growing renewable energy FDI. Partially data-anchored."
Qatar,35,22,15,60,22,"SWF Institute; UNCTAD FDI","Infra: ~2% GDP post-World Cup spending decline. Green: near-zero renewable investment. Dev bank: QIA ($510B SWF) — large but minimal domestic transition deployment. FDI: limited transition FDI. SWF data-anchored; rest evidence-based."
Romania,32,38,25,20,42,"EU data; UNCTAD FDI","Infra: ~3.5% GDP boosted by EU funds. Green: modest green finance. Dev bank: EximBank Romania; no major sovereign fund. FDI: growing EU manufacturing FDI. Mostly evidence-based with EU fund data."
Russia,28,35,12,35,15,"IMF estimates; SWF Institute; evidence-based","Infra: ~3% GDP estimate but sanctions distort. Green: near-zero under sanctions regime. Dev bank: National Wealth Fund ($130B but depleted for war spending); VEB.RF development bank sanctioned. FDI: collapsed post-2022 sanctions. Pre-sanctions SWF data-anchored; current scores evidence-based reflecting sanctions impact."
Rwanda,22,28,15,12,30,"World Bank; UNCTAD FDI","Infra: ~3% GDP — impressive for income level. Green: limited but efficient. Dev bank: BRD (Development Bank of Rwanda) exists; small but functional. FDI: growing tech/services FDI; Kigali Innovation City. Mostly evidence-based."
Saudi Arabia,62,55,35,82,45,"SWF Institute; national budget data; UNCTAD FDI","Infra: ~5% GDP driven by Vision 2030 mega-projects (NEOM; Red Sea; Qiddiya). Green: growing but still small relative to wealth; ACWA Power leading regional renewable deployment. Dev bank: PIF ($930B — among world's largest SWFs) with aggressive domestic deployment mandate. FDI: moderate; growing renewable/hydrogen FDI. SWF data-anchored; Vision 2030 spending partially data-anchored."
Serbia,28,32,20,18,35,"World Bank; UNCTAD FDI","Infra: ~3% GDP. Green: limited green finance. Dev bank: SRB development fund; limited scale. FDI: growing Chinese/EU manufacturing FDI. Mostly evidence-based."
Singapore,78,40,72,90,75,"OECD; SWF Institute; UNCTAD FDI 2024","Infra: ~3% GDP — highly efficient deployment. Green: major green bond hub; MAS green finance taxonomy; Green Plan 2030. Dev bank: GIC ($800B+) + Temasek ($290B+) = $1.1T+ combined SWF capacity — among world's most sophisticated deployment mechanisms. FDI: #1 ASEAN FDI hub; strong transition sector FDI. SWF data-anchored; FDI data-anchored."
Slovakia,38,40,30,22,52,"OECD/EU data; UNCTAD FDI","Infra: ~3.5% GDP with EU support. Green: moderate. Dev bank: SIH (Slovak Investment Holding); small. FDI: strong battery manufacturing FDI. Partially data-anchored."
Slovenia,38,38,35,25,48,"OECD/EU data; UNCTAD FDI","Infra: ~3% GDP. Green: moderate green bond activity. Dev bank: SID Bank (Slovenian development bank). FDI: moderate manufacturing FDI. Partially data-anchored."
South Africa,25,22,22,25,28,"World Bank; IRENA; UNCTAD FDI","Infra: ~2% GDP with declining trend (Eskom crisis diverts capital). Green: growing REIPPPP renewable procurement program. Dev bank: DBSA (Development Bank of Southern Africa); PIC ($170B pension but poorly governed). FDI: limited transition FDI; Eskom crisis deters investors. Partially data-anchored."
South Korea,72,60,68,75,70,"OECD infrastructure; CBI green bond; SWF Institute; UNCTAD FDI","Infra: ~4.5% GDP (OECD data-anchored) — aggressive industrial investment. Green: large green bond market; K-Taxonomy; $60B+ government Green New Deal. Dev bank: KDB ($250B+ assets) — one of world's most active development banks; NPS pension ($800B+); KIC sovereign fund ($200B+). FDI: strong semiconductor/battery FDI. All sub-scores data-anchored."
Spain,45,35,50,38,52,"OECD infrastructure; CBI green bond; UNCTAD FDI","Infra: ~2.5% GDP (OECD data). Green: strong renewable investment; EU Recovery Fund ($140B+ NextGen access). Dev bank: ICO (Instituto de Credito Oficial); limited compared to peers. FDI: growing renewable energy FDI. Mostly data-anchored."
Sri Lanka,15,18,10,8,22,"IMF; World Bank","Infra: ~2% GDP estimate post-2022 crisis collapse. Green: near-zero post-default. Dev bank: no functional mechanism post-crisis. FDI: collapsed post-sovereign default. Mostly evidence-based; crisis impact dominates."
Sweden,58,35,65,60,58,"OECD infrastructure; CBI green bond; UNCTAD FDI","Infra: ~2.5% GDP (OECD data). Green: strong green bond market (Vattenfall; Northvolt attracted $30B+). Dev bank: AP pension funds ($200B+ with green mandates); Swedfund. FDI: strong transition FDI; battery/steel decarbonization. Mostly data-anchored."
Switzerland,55,30,62,58,58,"OECD infrastructure; CBI green bond; UNCTAD FDI","Infra: ~2% GDP (OECD data) — high quality but low volume. Green: major sustainable finance hub; Swiss National Bank green investment debate. Dev bank: no sovereign fund but massive private banking green allocation; SIFEM. FDI: strong tech/pharma FDI. Mostly data-anchored."
Taiwan,55,38,45,48,68,"OECD estimates; national budget; UNCTAD FDI","Infra: ~3% GDP. Green: growing offshore wind investment ($30B+ pipeline). Dev bank: National Development Fund; limited sovereign fund mechanism. FDI: very strong semiconductor FDI (TSMC ecosystem attracts massive supply chain investment). FDI data-anchored; rest evidence-based."
Thailand,40,38,32,35,52,"World Bank; UNCTAD FDI 2024","Infra: ~3% GDP (Eastern Economic Corridor investment). Green: moderate; growing EV assembly finance. Dev bank: Government Savings Bank; Krung Thai; limited dedicated infrastructure mechanism. FDI: strong Chinese-invested EV/manufacturing FDI. FDI partially data-anchored."
Tunisia,20,25,15,15,25,"World Bank; UNCTAD FDI","Infra: ~2.5% GDP. Green: limited despite solar potential. Dev bank: no significant mechanism. FDI: declining due to political instability. Mostly evidence-based."
Turkey,42,48,32,30,48,"OECD infrastructure; UNCTAD FDI","Infra: ~4% GDP (data-anchored) — aggressive construction sector. Green: moderate renewable investment; growing solar/wind. Dev bank: Turkey Wealth Fund ($50B+); Eximbank. FDI: moderate transition FDI in renewables. Infra data-anchored; rest evidence-based."
UAE,70,55,52,88,58,"SWF Institute; IRENA; UNCTAD FDI","Infra: ~5% GDP driven by Abu Dhabi/Dubai mega-projects. Green: Masdar clean energy ($30B+ deployed); IRENA HQ; growing green hydrogen. Dev bank: ADIA ($1.1T) + Mubadala ($300B+) + ADQ ($160B+) + EIA = $1.7T+ combined SWF capacity. FDI: moderate transition FDI; renewable energy hub positioning. SWF data-anchored; green investment partially data-anchored."
United Kingdom,50,28,58,52,55,"OECD infrastructure; CBI green bond data; UNCTAD FDI","Infra: ~2% GDP (OECD data) — low and declining (HS2 cancellation). Green: strong green gilt program; UK Infrastructure Bank ($28B). Dev bank: UKIB; British Business Bank; National Wealth Fund ($30B announced). FDI: moderate transition FDI; offshore wind. Infra data-anchored; HS2 failure caps score."
United States,52,25,58,42,68,"OECD infrastructure; CBI green bond; UNCTAD FDI 2024","Infra: ~2.5% GDP (OECD data-anchored) — low for wealth level. Green: large green bond market; IRA $369B climate spending but politically uncertain. Dev bank: no sovereign fund; DFC ($40B) limited; state-level mechanisms fragmented. FDI: #1 global FDI recipient 2024 (+23% UNCTAD data-anchored); strong tech/energy greenfield. Infra and FDI data-anchored; political inconsistency caps green and dev bank scores."
Uruguay,35,30,35,28,42,"World Bank; UNCTAD FDI","Infra: ~2.5% GDP. Green: strong renewable track record (98% renewable electricity) but small absolute investment. Dev bank: BROU serves partial development role. FDI: moderate clean energy FDI for size. Mostly evidence-based."
Venezuela,8,10,3,8,5,"IMF estimates; evidence-based","Infra: ~1% GDP estimate — institutional collapse prevents investment. Green: zero. Dev bank: FONDEN sovereign fund effectively depleted. FDI: near-zero due to political/economic collapse. All evidence-based; crisis scores."
Vietnam,45,42,32,28,68,"World Bank; IRENA; UNCTAD FDI 2024","Infra: ~3.5% GDP driven by infrastructure buildout. Green: growing but coal still outpacing; $12B+ annual energy investment. Dev bank: VDB (Vietnam Development Bank); limited capacity. FDI: very strong — 40% of ASEAN projects shared with India/Singapore (UNCTAD data-anchored); massive manufacturing FDI. FDI data-anchored; rest evidence-based."
