Country,Execution_Capacity_Score,Delivery_Track_Record,Infrastructure_Quality,Public_Investment_Deployment,Continuity_Risk,Anchoring_Sources,Evidence_Notes
Algeria,37,30,35,40,48,WEF GCI 2019 (4.1/7 infra); TI CPI 2024 (33/100); IMF Article IV,East-West Highway completed but decades late. Oil revenue funds some infra but poor deployment. CPI 33 = high corruption. Limited diversification from hydrocarbons. Aging infrastructure.
Argentina,40,38,42,32,48,WEF GCI 2019 (3.7/7 infra); TI CPI 2024 (37/100); World Bank LPI 2023,Recurring economic crises derail projects. Vaca Muerta shows extraction capacity but infra investment ~2% GDP. Buenos Aires subway aging. CPI 37 moderate-high corruption. Institutional instability limits sustained delivery.
Australia,65,58,78,45,82,WEF GCI 2019 (4.9/7 infra pillar); TI CPI 2024 (75/100); OECD infra data,"Strong existing infrastructure quality (WEF 22nd). But delivery speed poor — Sydney Metro years late, Snowy 2.0 massively over budget. Infra investment ~2.5% GDP. CPI 75 = low corruption. Good institutions but permitting paralysis emerging."
Austria,71,65,82,55,85,WEF GCI 2019 (5.4/7 infra); TI CPI 2024 (74/100); OECD data,Solid Alpine infrastructure — Brenner Base Tunnel underway (world's longest rail tunnel). WEF infra 14th globally. Investment moderate ~3% GDP. CPI 74 = low corruption. Strong institutional continuity.
Azerbaijan,48,52,40,55,42,WEF GCI 2019 (4.4/7 infra); TI CPI 2024 (23/100); IMF data,"Oil-funded infra buildout — Baku-Tbilisi-Ceyhan pipeline, new airport, F1 circuit. Some delivery capacity but narrow (prestige projects). CPI 23 = very high corruption. Elite capture risk. Investment ~5% GDP but oil-dependent."
Bangladesh,46,50,32,52,52,WEF GCI 2019 (2.9/7 infra); TI CPI 2024 (27/100); World Bank data,Padma Bridge self-funded after World Bank withdrawal — shows determination. Garment industry logistics functional. But infra quality very low. CPI 27 = high corruption. Investment ~4% GDP. Remarkable for income level.
Belgium,63,55,75,48,78,WEF GCI 2019 (5.1/7 infra); TI CPI 2024 (73/100); OECD data,Good existing infrastructure quality (WEF 16th). EU logistics hub. But delivery slow — federalism creates gridlock. Infra investment ~2.5% GDP. CPI 73 = low corruption. Institutional continuity strong but decision-making fragmented.
Bolivia,31,28,25,38,35,WEF GCI 2019 (3.1/7 infra); TI CPI 2024 (29/100); IMF data,Limited infrastructure delivery capacity. Some road and telecom expansion under Morales era with Chinese loans. CPI 29 = high corruption. Investment sporadic. Political instability increasing. Infrastructure quality very low.
Brazil,47,52,42,40,52,WEF GCI 2019 (3.5/7 infra); TI CPI 2024 (36/100); World Bank LPI 2023,Pre-salt oil extraction shows engineering capacity. But chronic underinvestment in transport — only 12% roads paved. Itaipu is legacy hydro. CPI 36 = high corruption (Lava Jato). Investment ~2% GDP. Scale challenges immense.
Bulgaria,44,40,42,48,52,WEF GCI 2019 (4.0/7 infra); TI CPI 2024 (45/100); EU structural funds data,EU funds driving some highway construction (Struma motorway). Infrastructure improving but from low base. CPI 45 = moderate corruption. Investment ~3.5% with EU support. Institutional capacity limited but EU convergence helping.
Canada,62,50,80,42,82,WEF GCI 2019 (5.5/7 infra); TI CPI 2024 (76/100); OECD data,Excellent existing infrastructure quality (WEF 5th). But delivery increasingly paralyzed — Trans Mountain pipeline took 12+ years. LNG Canada over budget. Infra investment only ~2.5% GDP. CPI 76 = low corruption. Strong institutions but regulatory capture slowing execution.
Chile,56,55,52,50,68,WEF GCI 2019 (4.4/7 infra); TI CPI 2024 (67/100); OECD data,Solar buildout in Atacama shows execution capacity. Santiago Metro well-run. But overall infra score only 48th. CPI 67 = moderate-low corruption. Investment ~3% GDP. Best in Latin America for institutional quality.
China,81,93,72,92,62,WEF GCI 2019 (4.7/7 infra); TI CPI 2024 (45/100); World Bank LPI 2023; IEA data,"48,000 km HSR built 2008-2024 (~3,000 km/year). 278 GW solar added in 2024 alone. 6 million km of roads. Infrastructure investment ~8% GDP — highest globally. CPI 45 = moderate corruption but execution overcomes it. Delivery speed unmatched in human history."
Colombia,44,42,40,42,55,WEF GCI 2019 (3.6/7 infra); TI CPI 2024 (40/100); World Bank data,4G highway concessions progressing but slowly (Ruta del Sol corruption scandal). Bogota Metro finally under construction. CPI 40 = moderate-high corruption. Investment ~3% GDP. Peace process shows some institutional capacity. Terrain challenges delivery.
Costa Rica,50,45,48,42,68,WEF GCI 2019 (4.0/7 infra); TI CPI 2024 (57/100); World Bank data,Renewable electricity 98%+ (hydro/geothermal) but grid aging. Road infrastructure poor for income level — Route 27 only major modern highway. CPI 57 = moderate corruption. Investment ~2.5% GDP. Strong institutions by Latin American standards.
Croatia,48,42,48,50,55,WEF GCI 2019 (4.4/7 infra); TI CPI 2024 (47/100); EU data,EU-funded highway network (A1 Zagreb-Split). Peljesac Bridge completed 2022 with EU funds. CPI 47 = moderate corruption. Infrastructure improving with EU accession. Investment ~3.5% with EU support.
Cyprus,48,42,52,40,62,WEF GCI 2019 (4.3/7 infra); TI CPI 2024 (52/100); EU data,Small island economy — limited mega-project needs. Road network adequate. Port infrastructure functional. CPI 52 = moderate corruption. EU membership supports governance. Investment moderate. Division of island limits northern development.
Czech Republic,60,55,65,48,72,WEF GCI 2019 (4.5/7 infra); TI CPI 2024 (57/100); OECD data,"D1 motorway completion decades overdue. Nuclear power expansion planned (Dukovany II). EU-funded rail upgrades. CPI 57 = moderate corruption. Manufacturing powerhouse (Skoda, auto sector) shows industrial capacity. Investment ~3% GDP."
Denmark,83,85,88,68,90,WEF GCI 2019 (5.5/7 infra); TI CPI 2024 (90/100); OECD data,"Oresund Bridge, Fehmarn Belt tunnel underway, Great Belt Bridge — consistent mega-project delivery. WEF infra 2nd globally. Wind energy buildout world-leading. CPI 90 = near-zero corruption. Investment moderate ~3% GDP but highly efficient deployment."
Dominican Republic,37,35,32,38,45,WEF GCI 2019 (3.5/7 infra); TI CPI 2024 (29/100); IMF data,"Santo Domingo Metro shows some capacity. Tourism infrastructure functional. But overall quality low. CPI 29 = high corruption. Institutional capacity limited. Investment sporadic, tourism-focused."
Ecuador,34,32,30,35,40,WEF GCI 2019 (3.4/7 infra); TI CPI 2024 (28/100); IMF data,Coca Codo Sinclair hydroelectric (1.5 GW) shows ambition but plagued by quality issues and corruption. CPI 28 = high corruption. Oil-dependent investment cycle. Political instability increasing. Infrastructure quality declining.
Egypt,47,52,40,50,45,WEF GCI 2019 (4.0/7 infra); TI CPI 2024 (30/100); World Bank data,"New Administrative Capital, Suez Canal expansion, Benban Solar Park — ambitious delivery. But quality mixed and corruption endemic (CPI 30). Military controls large share of economy. Investment ~5% GDP. Institutional continuity under Sisi but authoritarian fragility."
Estonia,61,55,60,52,82,WEF GCI 2019 (4.7/7 infra); TI CPI 2024 (76/100); EU data,"Digital governance pioneer (e-Residency, X-Road). Small country but efficient delivery. Rail Baltica under construction. CPI 76 = low corruption. EU funds supporting infra. Investment ~3.5% GDP. Strong institutions despite small scale."
Ethiopia,40,48,28,48,35,WEF GCI 2019 (2.8/7 infra); TI CPI 2024 (37/100); World Bank data,GERD dam (6.45 GW) shows mega-project capacity. Addis Light Rail (Africa's first). Chinese-built railway to Djibouti. But civil war (2020-22) devastated progress. CPI 37 = high corruption. Investment ~4% GDP. Institutional fragility high.
Finland,81,80,85,68,92,WEF GCI 2019 (5.4/7 infra); TI CPI 2024 (87/100); OECD data,Olkiluoto 3 nuclear plant completed (albeit late). 5G leadership. LPI #2 globally. WEF infra 4th. CPI 87 = near-zero corruption. Investment moderate ~3.5% GDP but excellent deployment efficiency. Institutional quality among world's best.
France,70,72,78,55,72,WEF GCI 2019 (5.5/7 infra); TI CPI 2024 (71/100); OECD data,"Fastest nuclear buildout in history (52 reactors 1975-1990). TGV HSR 2,734 km. But recent delivery declining — EPR Flamanville decades late, 4x over budget. WEF infra 18th. CPI 71 = moderate-low corruption. Investment ~3% GDP. Legacy capacity strong, current execution weakening."
Georgia,44,40,38,48,52,WEF GCI 2019 (3.7/7 infra); TI CPI 2024 (53/100); World Bank data,Anaklia deep-sea port project struggled. East-West Highway improving. Post-Rose Revolution reforms showed capacity. CPI 53 = moderate corruption. Investment ~4% GDP. EU aspirations driving reform but political direction uncertain.
Germany,63,55,78,48,75,WEF GCI 2019 (5.3/7 infra); TI CPI 2024 (78/100); OECD data,"Stuttgart 21 decades late. BER Airport 9 years late, 3x over budget. Deutsche Bahn reliability declining. But legacy infra still strong (WEF 13th). CPI 78 = low corruption. Investment only ~2.5% GDP — chronic underinvestment. Delivery capacity declining despite wealth."
Ghana,37,35,30,38,48,WEF GCI 2019 (3.2/7 infra); TI CPI 2024 (43/100); World Bank data,Bui Dam shows some capacity. Road network improving slowly. Digital payment growth (mobile money). CPI 43 = moderate-high corruption. Investment ~3% GDP. Democracy relatively stable for region but infrastructure delivery slow.
Greece,44,38,48,35,58,WEF GCI 2019 (4.4/7 infra); TI CPI 2024 (49/100); OECD data,Athens Metro world-class (built for 2004 Olympics). Highway network improved with EU funds. But austerity decade destroyed investment capacity. CPI 49 = moderate corruption. Investment collapsed to ~1.5% GDP post-crisis. Recovery ongoing.
Hungary,50,48,55,48,48,WEF GCI 2019 (4.4/7 infra); TI CPI 2024 (42/100); OECD data,"M0 ring road, Paks II nuclear expansion planned. EU funds drive infra but absorption spotty. CPI 42 = moderate-high corruption. Institutional quality declining under Orban. Investment ~3.5% with EU funds. Delivery mixed."
Iceland,72,68,70,62,92,WEF GCI 2019 (5.2/7 infra); TI CPI 2024 (83/100); OECD data,Geothermal buildout transformed energy system. 100% renewable electricity. Submarine cable projects. Small scale but efficient delivery. CPI 83 = very low corruption. Investment moderate but well-deployed. Institutional quality excellent.
India,54,65,38,58,52,WEF GCI 2019 (3.5/7 infra); TI CPI 2024 (39/100); World Bank LPI 2023,"UPI payments (89% CAGR). Delhi Metro world-class. Mumbai-Ahmedabad HSR underway. 10,000+ km highways built/year under Bharatmala. But infrastructure quality still very low (WEF 51st). CPI 39 = high corruption. Investment ~4.5% GDP. Massive scale challenges but delivery accelerating."
Indonesia,49,52,40,52,50,WEF GCI 2019 (3.8/7 infra); TI CPI 2024 (34/100); World Bank data,"2,433 km toll roads under Jokowi. 25 new airports. Jakarta MRT. Nusantara new capital. WEF infra 57th but improving fast. CPI 34 = high corruption. Investment ~4% GDP. Delivery capacity improving but institutional quality mixed."
Iran,38,42,42,35,30,WEF GCI 2019 (3.8/7 infra); TI CPI 2024 (24/100); IMF data,"Tehran Metro functional. Some nuclear/military engineering capacity. But sanctions severely limit development. CPI 24 = very high corruption. Investment constrained by isolation. Institutional capacity directed toward regime maintenance, not public infrastructure."
Iraq,24,22,25,28,22,WEF GCI 2019 (2.4/7 infra est.); TI CPI 2024 (23/100); World Bank data,Post-conflict infrastructure devastated. Grand Faw Port under construction. Development Road ($17B) planned but unfunded. CPI 23 = very high corruption (endemic). Oil revenue mismanaged. Institutional capacity severely limited.
Ireland,66,62,70,52,82,WEF GCI 2019 (4.8/7 infra); TI CPI 2024 (77/100); OECD data,"M50 motorway, Luas tram, Dublin Metro planned. Strong FDI-driven tech infrastructure. But housing crisis shows delivery limitations. CPI 77 = low corruption. Investment ~2.5% GDP. Strong institutions but small-state capacity constraints."
Israel,67,75,65,62,62,WEF GCI 2019 (4.6/7 infra); TI CPI 2024 (62/100); OECD data,Desalination solved water crisis. Iron Dome rapid deployment. Tel Aviv light rail. High-tech infrastructure strong. CPI 62 = moderate corruption. Investment ~3.5% GDP. Military-industrial complex enables fast delivery. But conflict diverts resources from civilian infrastructure.
Italy,50,48,60,38,55,WEF GCI 2019 (4.5/7 infra); TI CPI 2024 (56/100); OECD data,Genoa Bridge rebuilt in record time (2 years) showing latent capacity. Alta Velocita HSR functional. But chronic underinvestment — Southern Italy infrastructure crumbling. CPI 56 = moderate corruption. Investment only ~2% GDP. Institutional capacity weakened by bureaucracy.
Japan,72,70,85,52,78,WEF GCI 2019 (5.3/7 infra); TI CPI 2024 (73/100); OECD data; World Bank LPI 2023,"Invented HSR (Shinkansen 1964). 3,000 km network. Earthquake-resilient infrastructure. WEF infra 19th. But delivery slowing — Maglev Chuo Shinkansen decades behind. CPI 73 = low corruption. Investment ~3% GDP. Legacy capacity strong but aging workforce and fiscal constraints."
Jordan,41,38,38,42,50,WEF GCI 2019 (3.8/7 infra); TI CPI 2024 (46/100); World Bank data,Red-Dead Sea project stalled. Some solar buildout. Aqaba port functional. CPI 46 = moderate corruption. Investment ~3% GDP. Institutional stability relative to region but limited delivery capacity. Refugee burden strains infrastructure.
Kazakhstan,47,50,42,55,40,WEF GCI 2019 (4.1/7 infra); TI CPI 2024 (27/100); IMF data,Astana/Nur-Sultan built from scratch as new capital. Khorgos Gateway dry port. Oil-funded infrastructure. CPI 27 = high corruption. Investment ~5% GDP (oil-driven). Delivery on prestige projects but systemic quality low. Succession risk post-Nazarbayev era.
Kenya,44,42,38,48,52,WEF GCI 2019 (3.4/7 infra); TI CPI 2024 (31/100); World Bank data,Standard Gauge Railway (Mombasa-Nairobi). Konza Technopolis planned. M-Pesa shows digital adoption. Geothermal energy growing. CPI 31 = high corruption. Investment ~4% GDP. East Africa's hub but infrastructure gaps large.
Kuwait,43,32,52,35,58,WEF GCI 2019 (4.3/7 infra); TI CPI 2024 (46/100); IMF data,"Oil-dependent, limited diversification vs UAE/Saudi. Kuwait Metro planned but stalled. Jaber Al-Ahmad Causeway completed. CPI 46 = moderate corruption. Investment low relative to oil wealth. Institutional gridlock between parliament and monarchy."
Latvia,52,45,52,48,68,WEF GCI 2019 (4.3/7 infra); TI CPI 2024 (60/100); EU data,Rail Baltica participant. EU-funded road improvements. Port of Riga modernization. CPI 60 = moderate-low corruption. Investment ~3.5% with EU funds. Small economy but functional institutions. Post-Soviet infrastructure gradually upgrading.
Lithuania,55,48,55,50,72,WEF GCI 2019 (4.5/7 infra); TI CPI 2024 (61/100); EU data,Rail Baltica participant. Klaipeda port expansion. EU-funded motorway improvements. CPI 61 = moderate-low corruption. Investment ~3.5% with EU funds. Stronger institutional quality than Latvia. Digital governance advancing.
Luxembourg,68,58,80,48,88,WEF GCI 2019 (5.4/7 infra); TI CPI 2024 (78/100); OECD data,Free public transport nationwide (2020). Excellent road and rail quality for size. EU institutional hub. CPI 78 = low corruption. Investment limited by small scale but efficiently deployed. World-class infrastructure quality per capita.
Malaysia,57,55,60,52,60,WEF GCI 2019 (4.7/7 infra); TI CPI 2024 (50/100); World Bank LPI 2023,"Petronas Towers era showed capacity. MRT Putrajaya line completed. 5G rollout 80% coverage. But East Coast Rail Link delayed. CPI 50 = moderate corruption (1MDB legacy). Investment ~3.5% GDP. Delivery mixed — strong on tech, weaker on mega-projects."
Mexico,41,40,42,35,48,WEF GCI 2019 (3.6/7 infra); TI CPI 2024 (31/100); OECD data,"Maya Train ($28B) over budget, environmental issues. AIFA airport rushed completion, low usage. WEF infra 61st. CPI 31 = high corruption. Investment ~2.5% GDP. Some nearshoring-driven industrial capacity but state execution poor."
Morocco,57,62,52,58,55,WEF GCI 2019 (4.1/7 infra); TI CPI 2024 (38/100); World Bank data,"Al Boraq HSR (Africa's first). Noor Ouarzazate CSP (510 MW, world's largest). TangerMed port (#1 Africa). Impressive delivery for income level. CPI 38 = moderate-high corruption. Investment ~5% GDP. Monarchical continuity enables long-term projects."
Netherlands,74,72,82,58,85,WEF GCI 2019 (5.5/7 infra); TI CPI 2024 (79/100); OECD data,Delta Works (water management masterpiece). Extensive cycling infrastructure. WEF infra 9th. Renewable electricity quadrupled 2015-2024. CPI 79 = low corruption. Investment ~2.5% GDP. Strong delivery within existing institutional framework.
New Zealand,62,55,65,42,88,WEF GCI 2019 (4.7/7 infra); TI CPI 2024 (85/100); OECD data,Infrastructure deficit acknowledged ($210B gap). Good governance but delivery slow. Let's Get Wellington Moving stalled. CPI 85 = very low corruption. Investment only ~2% GDP. Excellent institutions but underspending on infrastructure.
Nigeria,26,25,18,30,32,WEF GCI 2019 (2.3/7 infra est.); TI CPI 2024 (25/100); World Bank data,"Power grid unreliable (<4,000 MW for 220M people). Lagos-Ibadan rail under construction. Dangote Refinery shows private capacity. CPI 25 = very high corruption. Investment ~1.5% GDP effective. Infrastructure score among world's lowest."
Norway,77,78,82,60,88,WEF GCI 2019 (5.3/7 infra); TI CPI 2024 (84/100); OECD data,"Coastal highway projects, subsea tunnels, near-100% renewable electricity. WEF infra 8th. Sovereign wealth fund ($1.7T) enables investment. CPI 84 = very low corruption. Investment ~3% GDP. Strong delivery but small-country scale."
Oman,50,48,52,52,48,WEF GCI 2019 (4.3/7 infra); TI CPI 2024 (47/100); IMF data,"Muscat-Sohar highway, new airport. Port of Duqm development zone. CPI 47 = moderate corruption. Oil-funded but diversification slow vs UAE. Investment ~4% GDP. Succession transition from Qaboos relatively smooth."
Pakistan,29,30,22,32,35,WEF GCI 2019 (2.7/7 infra); TI CPI 2024 (24/100); World Bank data,CPEC corridor shows Chinese-enabled capacity but Pakistan's own delivery weak. Persistent energy crises. CPI 24 = very high corruption. Investment ~2.5% GDP. Institutional instability (military-civilian tensions). Infrastructure quality very low.
Peru,37,35,32,35,48,WEF GCI 2019 (3.1/7 infra); TI CPI 2024 (36/100); World Bank data,Lima Metro Line 2 under construction (decades). Mining infrastructure functional. CPI 36 = high corruption. Investment ~2.5% GDP. Institutional instability (6 presidents in 5 years). Delivery capacity limited.
Philippines,36,35,30,38,45,WEF GCI 2019 (3.0/7 infra); TI CPI 2024 (34/100); World Bank data,"Build Build Build program ambitious but delivery mixed. Manila MRT overcrowded, poorly maintained. CPI 34 = high corruption. Investment ~3% GDP but absorption low. Typhoon resilience shows some crisis response capacity."
Poland,62,62,58,55,72,WEF GCI 2019 (4.4/7 infra); TI CPI 2024 (54/100); OECD data,EU-funded motorway buildout transformed connectivity. GDP grew 220% since 1989. Only EU country to avoid 2008 recession. CPI 54 = moderate corruption. Investment ~3.5% GDP with EU funds. Manufacturing hub. Delivery capacity strong for income level.
Portugal,57,55,58,42,72,WEF GCI 2019 (4.4/7 infra); TI CPI 2024 (61/100); OECD data,"EU-funded modernization. Vasco da Gama Bridge, Lisbon Metro. Renewable electricity ~87.5%. CPI 61 = moderate-low corruption. Investment ~2.5% GDP. Good delivery on EU-co-funded projects."
Qatar,72,70,82,72,62,WEF GCI 2019 (5.4/7 infra); TI CPI 2024 (58/100); IMF data,"$300B World Cup infrastructure in 12 years. 7 stadiums, Lusail city from desert, Doha Metro. Mobile internet #2 globally. CPI 58 = moderate corruption. Investment ~8% GDP (World Cup surge). Delivery excellent when oil wealth fully deployed."
Romania,46,42,42,48,58,WEF GCI 2019 (3.8/7 infra); TI CPI 2024 (46/100); EU data,EU-funded highway construction slow — still lacks complete motorway network. Nuclear capacity exists (Cernavoda). CPI 46 = moderate corruption. Investment ~3.5% with EU funds. Post-communist institutions improving but execution gaps persist.
Russia,45,48,52,42,35,WEF GCI 2019 (4.4/7 infra); TI CPI 2024 (26/100); World Bank data,Crimea Bridge built fast. Some Soviet-legacy infrastructure maintained. Nuclear technology advanced. But sanctions post-2022 devastating. CPI 26 = very high corruption. Investment ~3% GDP. Institutional capacity exists but directed toward military/regime. Declining trajectory.
Rwanda,57,65,38,65,60,WEF GCI 2019 (3.2/7 infra); TI CPI 2024 (53/100); World Bank data,Post-genocide GDP growth 7.5%/year since 1995. Life expectancy 29→70 years. 'Africa's Singapore' model. Kigali masterplan execution. CPI 53 = moderate corruption. Investment ~7% GDP. Remarkable delivery for income level. Kagame continuity enables long-term planning.
Saudi Arabia,68,70,72,72,55,WEF GCI 2019 (5.0/7 infra); TI CPI 2024 (52/100); IMF data,"Haramain HSR 450km. Riyadh Metro $22.5B completed. Vision 2030 driving massive investment. But NEOM/The Line scaled back. CPI 52 = moderate corruption. Investment ~6% GDP. High ambition, mixed execution on mega-projects. Succession risk managed but present."
Serbia,44,40,42,48,50,WEF GCI 2019 (3.6/7 infra); TI CPI 2024 (36/100); World Bank data,Belgrade-Budapest HSR under construction (Chinese-funded). Belgrade Waterfront project. CPI 36 = high corruption. Investment ~3.5% GDP. EU candidate status driving some reform. Delivery capacity limited but improving with external funding.
Singapore,92,95,95,78,95,WEF GCI 2019 (6.5/7 infra); TI CPI 2024 (83/100); World Bank LPI 2023,"GDP $516→$23,300 per capita in 35 years. World-class port, airport, housing from zero. Universal fiber broadband #1 globally. WEF infra 6th (top for city-state). LPI top tier. CPI 83 = very low corruption. Investment ~5% GDP. Near-perfect execution across all dimensions."
Slovakia,50,48,48,48,60,WEF GCI 2019 (4.0/7 infra); TI CPI 2024 (50/100); EU data,"EU-funded motorway construction (D1, R1). Nuclear power (Mochovce 3 completed). CPI 50 = moderate corruption. Investment ~3.5% with EU funds. Manufacturing hub (automotive). Delivery moderate."
Slovenia,55,48,58,45,72,WEF GCI 2019 (4.5/7 infra); TI CPI 2024 (56/100); EU data,"Small country, solid infrastructure quality. Second railway track Koper-Divaca under construction. CPI 56 = moderate corruption. EU funds supporting development. Investment ~3% GDP. Strong institutions for post-Yugoslav state."
South Africa,36,35,35,32,45,WEF GCI 2019 (3.4/7 infra); TI CPI 2024 (41/100); World Bank data,Eskom crisis — rolling blackouts for years. Medupi/Kusile power stations massively delayed and over budget. REIPPP initially successful then stalled. CPI 41 = moderate-high corruption (state capture legacy). Investment ~2% GDP. Infrastructure deteriorating.
South Korea,80,88,82,65,80,WEF GCI 2019 (5.5/7 infra); TI CPI 2024 (63/100); OECD data,"GDP $79→$5,438/capita in 29 years. KTX HSR network. Nuclear buildout 2.87→14 GWe. Semiconductor fabs built at speed. WEF infra 21st but rising. CPI 63 = moderate-low corruption. Investment ~4% GDP. Execution culture embedded in industrial policy."
Spain,59,62,62,42,68,WEF GCI 2019 (5.0/7 infra); TI CPI 2024 (60/100); OECD data,"HSR network 3,600 km (#2 globally). Impressive historical delivery. Renewable buildout strong. But 2008 crisis exposed construction bubble. CPI 60 = moderate corruption. Investment dropped post-crisis to ~2% GDP. Strong legacy capacity, recent delivery mixed."
Sri Lanka,33,35,30,32,35,WEF GCI 2019 (3.4/7 infra); TI CPI 2024 (34/100); World Bank data,Chinese-funded Colombo Port City and Hambantota Port. Some delivery via external financing. But 2022 economic collapse devastated capacity. CPI 34 = high corruption. Investment collapsed. Institutional crisis — presidency overthrown. Debt trap risk.
Sweden,80,80,85,62,90,WEF GCI 2019 (5.4/7 infra); TI CPI 2024 (85/100); OECD data,88% renewable electricity. WEF infra 3rd globally. Oresund Bridge (joint with Denmark). Northvolt battery factory. CPI 85 = very low corruption. Investment ~3% GDP. Strong delivery within Nordic institutional framework.
Switzerland,80,78,98,48,92,WEF GCI 2019 (6.1/7 infra — #1); TI CPI 2024 (82/100); OECD data,"WEF infrastructure score #1 globally. Gotthard Base Tunnel (57 km, world's longest). NEAT rail corridors. CPI 82 = very low corruption. Investment moderate ~2.5% GDP but extraordinarily efficient. Institutional quality among world's best."
Taiwan,76,80,78,62,82,WEF GCI 2019 (5.4/7 infra); TI CPI 2024 (68/100); World Bank data,TSMC fab construction speed (4-5 quarters). 10 fabs planned. Taiwan HSR 345 km. WEF infra 10th. Semiconductor dominance built over 30 years. CPI 68 = moderate-low corruption. Investment ~3.5% GDP. Excellent delivery in strategic sectors.
Thailand,51,50,52,48,55,WEF GCI 2019 (4.1/7 infra); TI CPI 2024 (36/100); World Bank data,Bangkok BTS/MRT expansion ongoing. Eastern Economic Corridor. Manufacturing hub (automotive). But delivery slowed by political instability. CPI 36 = high corruption. Investment ~3% GDP. Some capacity but institutional changes limit sustained policy.
Tunisia,37,35,38,35,42,WEF GCI 2019 (3.6/7 infra); TI CPI 2024 (40/100); World Bank data,Post-revolution institutional instability. Some French-era infrastructure maintained. Renewable potential underutilized. CPI 40 = moderate-high corruption. Investment ~2.5% GDP. Democratic experiment stalling under Saied. Pre-2011 capacity not sustained.
Turkey,54,58,55,52,48,WEF GCI 2019 (4.5/7 infra); TI CPI 2024 (34/100); World Bank data,$100B infra spend in 15 years. Istanbul Airport (80M pax). 3 major bridges. Istanbul-Izmir highway. But quality concerns and CPI 34 = high corruption. Investment ~4% GDP. Strong delivery capacity but institutional quality declining rapidly.
UAE,82,85,88,78,72,WEF GCI 2019 (5.7/7 infra); TI CPI 2024 (68/100); World Bank LPI 2023,Dubai from desert to global hub in 30 years. Barakah nuclear 4 reactors in 12 years. Etihad Rail. Mobile internet #1 globally. WEF infra 23rd but misleading (city-states skew). CPI 68 = moderate-low corruption. Investment ~6% GDP. Execution speed rivaling China in concentrated areas.
United Kingdom,53,42,65,38,72,WEF GCI 2019 (5.1/7 infra); TI CPI 2024 (71/100); OECD data,"HS2 catastrophe (scaled back, massively over budget). Crossrail 4 years late, 2x over budget. Hinkley Point C nuclear delayed, 3x budget. WEF infra 20th. CPI 71 = moderate-low corruption. Investment only ~2% GDP — chronic underinvestment. Delivery capacity in crisis."
United States,50,38,68,35,62,WEF GCI 2019 (5.4/7 infra); TI CPI 2024 (65/100); OECD data; ASCE 2021 report card,"California HSR: 16+ years, $128B, zero passengers. Can't permit a transmission line. ASCE grade C-. But existing infra quality still decent (WEF ~12th). CPI 65 = moderate-low corruption. Investment only ~2.5% GDP. Permitting paralysis, NIMBY, regulatory capture. Massive gap between wealth and delivery."
Uruguay,47,42,48,38,65,WEF GCI 2019 (3.9/7 infra); TI CPI 2024 (62/100); World Bank data,"95%+ renewable electricity (wind + hydro). Best governance in Latin America. But infrastructure modest — limited rail, road quality mixed. CPI 62 = moderate-low corruption. Investment ~2.5% GDP. Strong institutions but limited scale and resources."
Venezuela,16,15,20,12,18,WEF GCI 2019 (2.0/7 infra est.); TI CPI 2024 (13/100); IMF data,"Infrastructure collapse — power grid failing, roads deteriorating, oil production collapsed from 3.2M to <800K bpd. CPI 13 = among most corrupt globally. Investment near zero. Institutional collapse. Economic crisis ongoing since 2014."
Vietnam,57,62,45,62,58,WEF GCI 2019 (3.8/7 infra); TI CPI 2024 (37/100); World Bank data,Doi Moi reforms: GDP growth 6.37% over 40 years. Manufacturing hub emergence. Long Thanh Airport under construction. North-South expressway progressing. CPI 37 = high corruption but execution overcomes it (China model). Investment ~5% GDP. Strong delivery for income level.
